[11:11:50]: #bot-stuff | Max Umminger: $bal
[11:11:55]: #bot-stuff | Max Umminger: $beg
[11:11:57]: #bot-stuff | Max Umminger: $weekly
[11:12:02]: #bot-stuff | Max Umminger: $weekly
[11:14:14]: #bot-stuff | Max Umminger: $weekly
[11:14:24]: #bot-stuff | Max Umminger: $beg
[11:14:33]: #bot-stuff | Max Umminger: $stocks
[11:15:56]: #bot-stuff | Max Umminger: $stocks
[11:16:59]: #bot-stuff | Max Umminger: $bal
[11:17:01]: #bot-stuff | Max Umminger: $deposit all
[11:17:03]: #bot-stuff | Max Umminger: $bal
[11:17:06]: #bot-stuff | Max Umminger: $stocks
[11:17:19]: #bot-stuff | Max Umminger: $stocks buy BOD 44
[11:17:28]: #bot-stuff | Max Umminger: $stocks inv
[23:43:58]: #bot-stuff | Vinh Pham: $bal
[23:44:09]: #bot-stuff | Vinh Pham: $inv
[23:49:10]: #bot-stuff | Vinh Pham: $bal shane
[23:49:17]: #bot-stuff | Vinh Pham: $lb
[00:13:46]: #bot-stuff | Shane Canet: !withdraw 500000
[00:13:57]: #bot-stuff | Shane Canet: $withdraw 500000
[00:14:02]: #genshin-impact | Karen Liu: <a:PaimonWoah:803475395177086996>
[00:14:03]: #bot-stuff | Shane Canet: $lb
[00:14:17]: #bot-stuff | Shane Canet: $beg
[00:14:21]: #bot-stuff | Shane Canet: $inv
[00:14:28]: #bot-stuff | Shane Canet: $cf all
[00:15:06]: #bot-stuff | Shane Canet: $beg
[00:15:13]: #bot-stuff | Shane Canet: $cf all
[00:15:17]: #bot-stuff | Shane Canet: $rob nick
[00:15:36]: #bot-stuff | Shane Canet: $beg
[00:15:54]: #bot-stuff | Shane Canet: $beg
[00:16:07]: #bot-stuff | Shane Canet: $beg
[00:16:12]: #bot-stuff | Shane Canet: $cf all
[00:16:35]: #bot-stuff | Shane Canet: $beg
[00:16:46]: #bot-stuff | Shane Canet: $beg
[00:17:00]: #bot-stuff | Shane Canet: $beg
[00:17:05]: #bot-stuff | Shane Canet: $cf all
[00:17:08]: #bot-stuff | Shane Canet: $cf all
[00:17:15]: #bot-stuff | Shane Canet: $cf all
[00:17:20]: #bot-stuff | Shane Canet: $cf all
[00:17:29]: #bot-stuff | Shane Canet: $cf all
[00:17:33]: #bot-stuff | Shane Canet: $bal
[00:17:39]: #bot-stuff | Shane Canet: $beg
[00:17:51]: #bot-stuff | Shane Canet: $beg
[00:18:02]: #bot-stuff | Shane Canet: $beg
[00:18:08]: #bot-stuff | Shane Canet: $cf all
[00:18:16]: #bot-stuff | Shane Canet: $beg
[00:18:20]: #bot-stuff | Shane Canet: $cf all
[00:18:24]: #bot-stuff | Shane Canet: $beg
[00:18:29]: #bot-stuff | Shane Canet: $cf all
[00:18:36]: #bot-stuff | Shane Canet: $beg
[00:18:50]: #bot-stuff | Shane Canet: $beg
[00:18:59]: #bot-stuff | Shane Canet: $beg
[00:19:03]: #bot-stuff | Shane Canet: $cf all
[00:19:06]: #bot-stuff | Shane Canet: $beg
[00:19:10]: #bot-stuff | Shane Canet: $beg
[00:19:14]: #bot-stuff | Shane Canet: &beg
[00:19:17]: #bot-stuff | Shane Canet: $beg
[00:19:20]: #bot-stuff | Shane Canet: $beg
[00:19:25]: #bot-stuff | Shane Canet: $cf all
[00:19:29]: #bot-stuff | Shane Canet: $beg
[00:19:33]: #bot-stuff | Shane Canet: $beg
[00:19:36]: #bot-stuff | Shane Canet: $beg
[00:19:38]: #bot-stuff | Shane Canet: $beg
[00:19:40]: #bot-stuff | Shane Canet: $beg
[00:19:45]: #bot-stuff | Shane Canet: $cf all
[00:19:48]: #bot-stuff | Shane Canet: $beg
[00:19:51]: #bot-stuff | Shane Canet: $beg
[00:19:53]: #bot-stuff | Shane Canet: $beg
[00:19:58]: #bot-stuff | Shane Canet: $cf all
[00:20:00]: #bot-stuff | Shane Canet: $beg
[00:20:03]: #bot-stuff | Shane Canet: $beg
[00:20:06]: #bot-stuff | Shane Canet: $beg
[00:20:22]: #bot-stuff | Shane Canet: $beg
[00:20:25]: #bot-stuff | Shane Canet: $beg
[00:20:39]: #bot-stuff | Shane Canet: $beg
[00:20:42]: #bot-stuff | Shane Canet: $beg
[00:20:44]: #bot-stuff | Shane Canet: $beg
